Date,User,Content,Coordinates
2022-10-04 21:13:46+00:00,HmGinYYC,"@XenoCanadian @NikaDragomira @lschiefner @SandraCQuad @PierrePoilievre @CPC_HQ @Alberta_UCP @liberal_party @albertaNDP So...about your better options have you found any yet? I've given you what...3 hours to find something better than @liberal_party policies for 🇨🇦 in 2022. If you need more time let me know, I'm sure it's a...daunting task.

 #cdnpoli","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-10-04 19:20:50+00:00,HmGinYYC,"@XenoCanadian @NikaDragomira @lschiefner @SandraCQuad @PierrePoilievre @CPC_HQ @Alberta_UCP @liberal_party @albertaNDP I mean all Canadians including you! Our current govt's policies on climate change, our economy &amp; democracy are far superior to anything proposed by the opposition. A very weak &amp; disorganized opposition I might add.
#NeverVoteConservative until we have a reason to. #cdnpoli","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-10-03 02:29:54+00:00,DavidCloutier,"Alberta can’t afford four more years of UCP infighting, special interests, and out-of-touch policy. Jason Kenney may be on his way out, but a new UCP leader won’t be able to fix these deep issues in the fabric of their party. Alberta deserves better. #ableg https://t.co/ZBKFM72DxK","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-09-22 17:53:41+00:00,MauriceIRyton,It amazes me how this UCP party spends billions on patronization yet cuts anything that serves the people of Alberta. Now we have a commissioner to keep teachers in check. Odd how the ATA was able to do this for decades. Watch for some big law suits coming soon. Insanity!,"Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-09-08 16:26:14+00:00,RichardGotfried,"@varmitage27 @ChezGreenMD @UCPCaucus @Alberta_UCP This is the Brand I’ve been proud to represent since the day I was blessed to be born in this great province! But all people, organizations, &amp; yes, political parties best understand that they need to live up to/ride for the principles, promises and trust that build their brand! https://t.co/YTnNaiQLQt","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-09-03 02:22:15+00:00,culanicki,"See, THIS is what #ucp leadership candidates SHOULD be focusing on. Instead they move the opposite direction. Even the Alberta Party thinks in the right direction. #abpoli https://t.co/g9aSlyH5c7","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-09-01 19:13:16+00:00,SharonM28627721,"@RachelNotley Diversification IS happening under the UCP, but we should make as much money as we can from our natural resources, &amp; that’s why we can never allow another NDP government in Alberta, because the NDP socialist party has poverty &amp; misery as their ultimate goal for all Albertans!","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-08-23 23:18:31+00:00,53swimorsink,"@rajmansez @DuaneBratt @LeelaAheer @Alberta_UCP Yes🙄The UCP is not united at all, and apparently does not want Leela speaking for them. Her ideas are way too moderate for most of them. I’m surprised she thinks her brand of UCP would be accepted by a majority of her party.🤔#ableg","Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-08-17 18:50:59+00:00,anonfmresident,@UcpMembers @BrianJeanAB @Alberta_UCP @ABDanielleSmith While Boob bus lady is extreme crazy everything from the Clown party is nonsense.  A new ring leader visit going to change it.,"Coordinates(longitude=-79.810142, latitude=43.373074)"
2022-08-11 16:28:06+00:00,Out_OnA_Limb,"@Ecohesian For many years I met with Alberta PC’s when they had power. Then 4 years I met with AbNDP when they had power. Currently I meet often with UCP Ministers office. I will always work and meet across party lines. Ministers, MLA, are here today gone tomorrow. I’m not. I’m still here.","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-08-10 01:24:30+00:00,JasonPYYC,I just love how all the women @Alberta_UCP MLAs who belong to the “Shields Up!” and Chris Champion party are absolute amazed and disgusted they’d award a racist/misogynist essay.,"Coordinates(longitude=-114.3160379, latitude=50.84278)"
2022-08-07 20:12:38+00:00,DonLauweryssen,"@RachelNotley With full radicalization of the UCP nearly complete, there will be a political void in Alberta formerly occupied by the Progressive Conservative party. But for your party name I think you could be the common sense progressive conservative leader so many of are looking for","Coordinates(longitude=-119.4538212, latitude=50.150997)"
2022-08-03 14:38:17+00:00,Out_OnA_Limb,"Now I know why Alberta Party wanted Greg Clark out and gone from their party. He’s UCP dressed up as AP. 
Thank gawd AP got rid of that junk. The last thing we need is more folks that hate #disabled people &amp; #seniors. #AbLeg #AbPoli #Yeg #Yyc","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-08-01 15:40:40+00:00,itsmeterah,@MarieFrRenaud @BrianJeanAB @JustinTrudeau @CanadianPM @theJagmeetSingh  @NDP @albertaNDP @liberal_party @Alberta_UCP @YourAlberta @Disability_WP #EndDisabilityPoverty #CanadaDisabilityBenefitNow,"Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-07-29 16:33:00+00:00,Sally_Mansour,"@peteremcc @boehmerB It’s totally ethical and not a lie if they want what’s best for Alberta! The last 5-10 yrs of political events have made A LOT of past PC &amp; WRP members feel like the #UCP isn’t their party. It will only become their party if they join and vote! 
You: judgey 😠
Me: Welcome 🤗","Coordinates(longitude=-114.3160379, latitude=50.84278)"
