Date,User,Content,Coordinates
2022-02-25 01:57:09+00:00,roysplacerest,@jasonph78 @TrentOster @Alberta_UCP @jkenney @BarryMorishita @AlbertaParty @albertaNDP @FreedomAlberta @UCPCaucus I’ve been involved with the party for a while now. President of the Livingstone Macleod CA and with good people like @brdautremont @BarryMorishita @StantonBrenda @TrondFrantzen @ABpartyBow many good people with similar thoughts as your own. Know that this is a positive choice,"Coordinates(longitude=-113.6011, latitude=49.99398)"
2022-02-23 19:48:11+00:00,CailinasEirinn,"@yesssi @yknot05 @NDITF @Jenni_Byrne I remember voting Conservative when the Wild Rose Party looked as if they may be elected to power. 
I had sworn off them for years, but WRP was a bridge too far for me. 
It hurt, but I did it. 
There’s got to be a way to convince them. 
If UCP are elected, Alberta is done. Over.","Coordinates(longitude=-124.064698, latitude=49.097301)"
2022-02-17 00:43:41+00:00,LeonardGould3,"https://t.co/UsIvYamhP1 https://t.co/PjK6nZ6wF9  RIGHT! ✅ ✔COUTTS, ALBERTA!Just cost KENNEY THE IDIOT!,his UCP HOTTENTOT PARTY 🥳leadership!,🤪😜in the same fashion tht it cost ERIN O'TOOLE,their TWIT!, his leadership👏a week ago! NOW!on2 BRIAN JEAN!👖 👖CAN HE RIDE THE DONKEY?","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-02-16 08:10:00+00:00,LeonardGould3,"https://t.co/ZrXFbRWe6V  KENNEY JUST BLEW HIS LEADERSHIP of the UCP INSURRECTION PARTY, the UCP GOVERNMRNT of ALBERTA, and the prospects of the CANADIAN FEDERAL CPC/UCP HOTTENTOT formerly ""ERIN O'TOOLE"" PARTY, OUT HIS ASS! SLBERTA is DONE!  ✔ With thesr MONKEYS!","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-02-13 02:15:17+00:00,fireexpert1959,"@JacquotLeGrand @lisamflower @Charlie85915085 It's an exercise in privilege. If this was a protest of racialized Canadians they would have been hammered into the ground by now. This whites only petulance party is being supported by the @CPC_HQ , @Alberta_UCP , and the police services supposed to be enforcing the law.","Coordinates(longitude=-119.625662, latitude=49.822037)"
2022-01-27 06:55:56+00:00,CrystalHealer,#ucp Jason Kenney is the Worst Thing Ever to happen not only to this party but to ALL of Alberta. I want to know what ALL other members of this once decent party are going to do to finally get him out of his position which for 2 years has been &amp; achieved the exact status of,"Coordinates(longitude=-114.755331, latitude=52.088613)"
2022-01-10 02:43:18+00:00,regwilkes,"@philmcrae @CMOH_Alberta @AdrianaLaGrange @jkenney @Alberta_UCP @calgaryherald @CTVCalgary @CBC @drdagly @schill_dawg @JustinTrudeau @edmontonjournal @RachelNotley @shoffmanAB It's Unbelievable and Impossible to understand the thinking, or lack thereof, behind this Useless Corruption Party!","Coordinates(longitude=-123.848844, latitude=49.431885)"
2022-01-02 01:25:22+00:00,LeonardGould3,"..the ALBERTA UCP PARTY 🥳 of ""GRANNY MANNING"", and STEPHRN HARPER!, finananced 100%"" by AMERICAN BIG OIL INTERESTS!,&amp; ""HERMANN THE GERMAN"" acolytes of ""Donald The Orange 🍊 Sleaze-ball!-Trump!"",simply OFFENDED! Intelligent Voters, throughout CANADA! 🇨🇦 THEY R DONE! https://t.co/RDDWm4v8AA","Coordinates(longitude=-113.71368, latitude=53.395531)"
2022-01-02 01:17:43+00:00,LeonardGould3,"..""short arms,Big mouth ERIN O'TOOLE"",(a.k.a., BRIAN MULRONEY LIGHT!)-even with this unappealing, pseudo-BAY STREET,quasi-lawyer,the ALBERTA UCP BIBLE-THUMPIN' ERSATZ-TORY Party ""Pretenders""2the Throne of SIR JOHN A. MACDONALD!,could not draw FLIES! in the VOTE-RICH environs of . https://t.co/RDDWm4v8AA","Coordinates(longitude=-113.71368, latitude=53.395531)"
2021-12-26 17:04:55+00:00,ClarkeRaodi123,@JustinWieting He will split the UCP into 2 separate factions. Which I think is good. As there is a far right faction running Alberta right now. The facists and racists are in charge. The progressive and centrist Cs make up about 30% of the party. Its a white is right party.,"Coordinates(longitude=-113.71368, latitude=53.395531)"
2021-12-25 08:20:52+00:00,tracyinkits,@Kalie1956 @CMOH_Alberta Ask an O&amp;G exec who attended the UCP party....they might have a idea or six.,"Coordinates(longitude=-114.3160379, latitude=50.84278)"
2021-12-25 07:43:58+00:00,LeonardGould3,"https://t.co/rYEGe4isYs OMICRON lands in Alberta! Meanwhile, the UCP and ""The Kenney Clones"" dance an Irish Jig, drink Jamieson's Irish!, &amp; Party like its 🥳 🎉 🪅  1999!","Coordinates(longitude=-113.71368, latitude=53.395531)"
2021-12-23 03:07:39+00:00,Adamqab,@GCarabine @Alberta_UCP @UCPCaucus And they think that party in a COVID wave makes them competent to evaluate teacher conduct? #abed https://t.co/1aEJyfMMrz,"Coordinates(longitude=-114.048657, latitude=51.241238)"
2021-12-22 22:15:50+00:00,Iloveyql78,The @Alberta_UCP members who went to that party last night can all go FUCK OFF!!! https://t.co/OsGOUDedDd,"Coordinates(longitude=-114.3160379, latitude=50.84278)"
2021-12-13 18:27:22+00:00,tkoriordan,"Imagine being this bitter and angry. 

Now imagine what that will do to party governance. 

Now imagine what that may do to provincial governance. 

UCP petulance is bad for Alberta. https://t.co/Du5sW4n4h3","Coordinates(longitude=-113.71368, latitude=53.395531)"
2021-12-11 19:28:03+00:00,stangea,"@young_lorbyoung @Alberta_UCP gobsmacked anti democratic proposal to allow rich guys to manufacture unsolicited party memberships should be a national crisis, roundly condemned by the media. Instead, it's 🦗🦗🦗🦗 and has dropped off the news cycle. ☹️","Coordinates(longitude=-105.626384, latitude=50.35293)"
2021-12-11 01:05:11+00:00,JenniferSangst2,@BarbLarochelle @jkenney @AdrianaLaGrange @Alberta_UCP I believe victims have the right to be heard. I’m not sure they have. I do not believe @Alberta_UCP is the right review party.   I had 3 kids attend the school at this time. Two teachers assaulted students during this timeframe apparently wildly known.,"Coordinates(longitude=-114.3160379, latitude=50.84278)"
2021-12-09 18:50:22+00:00,culanicki,"When is a Christmas party not a Christmas party?

When it's a @Alberta_UCP party.","Coordinates(longitude=-113.71368, latitude=53.395531)"
2021-12-08 21:48:23+00:00,threepeaks74,UCP working real hard to make Alberta a one party ruled province https://t.co/h7BIbBSOkz,"Coordinates(longitude=-64.621502, latitude=44.81197)"
